country,country_code,year,adult_literacy_rate,youth_literacy_male,youth_literacy_female,region
Afghanistan,AFG,2011,31.0,62.0,32.0,Asia
Afghanistan,AFG,2015,33.75384,57.73505,25.48416,Asia
Afghanistan,AFG,2021,37.0,71.0,42.0,Asia
Afghanistan,AFG,2022,,83.4,44.17171,Asia
Albania,ALB,2001,99.0,99.0,99.0,Europe
Albania,ALB,2008,96.0,99.0,99.0,Europe
Albania,ALB,2009,,94.82,96.61,Europe
Albania,ALB,2011,97.0,99.0,99.0,Europe
Albania,ALB,2012,97.0,99.0,99.0,Europe
Albania,ALB,2017,98.81623,98.58999,99.52556,Europe
Algeria,DZA,2002,70.0,94.0,86.0,Africa
Algeria,DZA,2006,73.0,94.0,89.0,Africa
Algeria,DZA,2008,75.0,96.0,92.0,Africa
Algeria,DZA,2019,,64.79,97.9897,Africa
Angola,AGO,2001,67.0,84.0,63.0,Africa
Angola,AGO,2014,66.0,85.0,71.0,Africa
Angola,AGO,2015,66.23586,83.96919,67.4276,Africa
Antigua and Barbuda,ATG,2001,99.0,,,
Argentina,ARG,1991,96.0,98.0,99.0,South America
Argentina,ARG,2001,97.0,99.0,99.0,South America
Armenia,ARM,2000,,100.0,100.0,Asia
Armenia,ARM,2001,99.0,100.0,100.0,Asia
Armenia,ARM,2011,100.0,100.0,100.0,Asia
Armenia,ARM,2016,100.0,100.0,100.0,Asia
Armenia,ARM,2017,100.0,100.0,100.0,Asia
Armenia,ARM,2020,100.0,100.0,100.0,Asia
Armenia,ARM,2022,99.825,99.64871,99.91656,Asia
Aruba,ABW,2000,97.0,99.0,99.0,North America
Aruba,ABW,2010,97.0,99.0,99.0,North America
Azerbaijan,AZE,1999,99.0,100.0,100.0,Asia
Azerbaijan,AZE,2006,,100.0,100.0,Asia
Azerbaijan,AZE,2007,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2009,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2010,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2011,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2012,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2013,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2014,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2015,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2016,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2017,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2019,100.0,100.0,100.0,Asia
Azerbaijan,AZE,2023,100.0,100.0,100.0,Asia
Bahrain,BHR,1991,84.0,97.0,97.0,Asia
Bahrain,BHR,2001,87.0,97.0,97.0,Asia
Bahrain,BHR,2022,98.0,99.0,99.0,Asia
Bahrain,BHR,2023,98.0,99.0,99.0,Asia
Bangladesh,BGD,1991,35.0,52.0,38.0,Asia
Bangladesh,BGD,2000,,100.0,100.0,Asia
Bangladesh,BGD,2001,47.0,67.0,60.0,Asia
Bangladesh,BGD,2007,,90.51,77.09,Asia
Bangladesh,BGD,2011,59.0,76.0,80.0,Asia
Bangladesh,BGD,2012,58.0,76.0,79.0,Asia
Bangladesh,BGD,2013,61.0,84.0,87.0,Asia
Bangladesh,BGD,2014,61.0,85.0,86.0,Asia
Bangladesh,BGD,2015,65.0,86.0,90.0,Asia
Bangladesh,BGD,2016,73.0,91.0,94.0,Asia
Bangladesh,BGD,2017,73.0,92.0,94.0,Asia
Bangladesh,BGD,2018,74.0,92.0,95.0,Asia
Bangladesh,BGD,2019,75.0,94.0,96.0,Asia
Bangladesh,BGD,2020,75.0,93.0,96.0,Asia
Bangladesh,BGD,2021,76.0,94.0,96.0,Asia
Bangladesh,BGD,2022,79.0,92.0,94.0,Asia
Barbados,BRB,2012,,100.0,100.0,North America
Belarus,BLR,1999,100.0,100.0,100.0,Europe
Belarus,BLR,2009,100.0,100.0,100.0,Europe
Belarus,BLR,2012,,100.0,100.0,Europe
Belarus,BLR,2019,100.0,100.0,100.0,Europe
Belize,BLZ,1991,70.0,77.0,78.0,North America
Belize,BLZ,2015,90.91604,97.82818,98.07905,North America
Benin,BEN,1992,27.0,55.0,27.0,Africa
Benin,BEN,2001,,61.08,31.85,Africa
Benin,BEN,2002,35.0,59.0,33.0,Africa
Benin,BEN,2006,,72.07,39.53,Africa
Benin,BEN,2017,38.87121,66.79979,50.98536,Africa
Benin,BEN,2019,48.99828,76.35444,62.76271,Africa
Benin,BEN,2021,43.83417,70.96799,59.18644,Africa
Benin,BEN,2022,51.37877,74.60011,67.93813,Africa
Bhutan,BTN,2005,53.0,80.0,68.0,Asia
Bhutan,BTN,2012,55.0,90.0,82.0,Asia
Bhutan,BTN,2017,67.0,93.0,93.0,Asia
Bolivia,BOL,1992,80.0,96.0,92.0,South America
Bolivia,BOL,2000,,98.4,96.3,South America
Bolivia,BOL,2001,87.0,98.2,96.5,South America
Bolivia,BOL,2002,,99.1,97.1,South America
Bolivia,BOL,2003,,99.47,96.67,South America
Bolivia,BOL,2004,,99.6,98.6,South America
Bolivia,BOL,2005,,99.3,98.4,South America
Bolivia,BOL,2006,,99.4,97.4,South America
Bolivia,BOL,2007,91.0,99.8,99.1,South America
Bolivia,BOL,2008,91.0,99.4,99.0,South America
Bolivia,BOL,2009,91.0,99.7,99.1,South America
Bolivia,BOL,2011,92.0,99.3,98.8,South America
Bolivia,BOL,2012,94.0,99.5,99.2,South America
Bolivia,BOL,2013,,99.5,99.2,South America
Bolivia,BOL,2014,,99.7,99.2,South America
Bolivia,BOL,2015,92.0,99.4,99.4,South America
Bolivia,BOL,2016,,99.5,99.3,South America
Bolivia,BOL,2017,,99.4,99.3,South America
Bolivia,BOL,2018,,99.7,99.4,South America
Bolivia,BOL,2019,,99.7,99.4,South America
Bolivia,BOL,2020,94.0,99.6,99.5,South America
Bolivia,BOL,2021,,99.5,99.5,South America
Bosnia and Herzegovina,BIH,1991,89.0,99.0,99.0,Europe
Bosnia and Herzegovina,BIH,2000,97.0,100.0,100.0,Europe
Bosnia and Herzegovina,BIH,2013,97.0,100.0,100.0,Europe
Botswana,BWA,1991,69.0,86.0,92.0,Africa
Botswana,BWA,2003,81.0,92.0,96.0,Africa
Brazil,BRA,2000,86.0,93.0,96.0,South America
Brazil,BRA,2001,,94.7,96.9,South America
Brazil,BRA,2002,,95.1,97.5,South America
Brazil,BRA,2003,,95.6,97.7,South America
Brazil,BRA,2004,89.0,95.7,97.9,South America
Brazil,BRA,2005,,96.1,98.1,South America
Brazil,BRA,2006,90.0,96.8,98.3,South America
Brazil,BRA,2007,90.0,97.0,98.6,South America
Brazil,BRA,2008,90.0,97.2,98.5,South America
